W0428 12:20:17.796000 110737 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50,257
Parameters: 67,213,824  (67.2M)
Architecture: prelude=2 + core×1 + coda=2
MoE: False  |  LTI: False  |  LoRA: 0  |  GradCkpt: True
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 1800s

step 0000 (0.0%) | loss: 10.9879 | lr: 0.00e+00 | dt: 12426ms | tok/s: 1,318 | vram: 1527MB | remain: 1800s   
step 0001 (0.0%) | loss: 11.0105 | lr: 0.00e+00 | dt: 222ms | tok/s: 73,871 | vram: 2039MB | remain: 1800s   
step 0002 (0.0%) | loss: 11.0100 | lr: 0.00e+00 | dt: 226ms | tok/s: 72,632 | vram: 2039MB | remain: 1800s   
step 0003 (0.0%) | loss: 11.0095 | lr: 0.00e+00 | dt: 229ms | tok/s: 71,700 | vram: 2039MB | remain: 1800s   
step 0004 (0.0%) | loss: 10.9996 | lr: 0.00e+00 | dt: 228ms | tok/s: 71,827 | vram: 2039MB | remain: 1800s   
step 0005 (0.0%) | loss: 11.0029 | lr: 0.00e+00 | dt: 233ms | tok/s: 70,232 | vram: 2039MB | remain: 1800s   
step 0006 (0.0%) | loss: 11.0057 | lr: 0.00e+00 | dt: 231ms | tok/s: 70,774 | vram: 2039MB | remain: 1800s   
step 0007 (0.0%) | loss: 11.0025 | lr: 7.72e-06 | dt: 232ms | tok/s: 70,694 | vram: 2039MB | remain: 1800s   
step 0008 (0.0%) | loss: 11.0008 | lr: 1.54e-05 | dt: 231ms | tok/s: 71,016 | vram: 2039MB | remain: 1799s   
step 0009 (0.0%) | loss: 10.9935 | lr: 2.31e-05 | dt: 231ms | tok/s: 70,921 | vram: 2039MB | remain: 1799s   
step 0010 (0.1%) | loss: 10.9757 | lr: 3.08e-05 | dt: 236ms | tok/s: 69,502 | vram: 2039MB | remain: 1799s   
step 0011 (0.1%) | loss: 10.9494 | lr: 3.87e-05 | dt: 231ms | tok/s: 70,782 | vram: 2039MB | remain: 1799s   
step 0012 (0.1%) | loss: 10.9157 | lr: 4.64e-05 | dt: 232ms | tok/s: 70,741 | vram: 2039MB | remain: 1798s   
step 0013 (0.1%) | loss: 10.8725 | lr: 5.41e-05 | dt: 234ms | tok/s: 70,103 | vram: 2039MB | remain: 1798s   
step 0014 (0.1%) | loss: 10.8194 | lr: 6.19e-05 | dt: 234ms | tok/s: 70,118 | vram: 2039MB | remain: 1798s   
step 0015 (0.1%) | loss: 10.7562 | lr: 6.97e-05 | dt: 233ms | tok/s: 70,193 | vram: 2039MB | remain: 1798s   
step 0016 (0.1%) | loss: 10.6916 | lr: 7.75e-05 | dt: 235ms | tok/s: 69,849 | vram: 2039MB | remain: 1797s   
step 0017 (0.1%) | loss: 10.6141 | lr: 8.53e-05 | dt: 233ms | tok/s: 70,332 | vram: 2039MB | remain: 1797s   
step 0018 (0.2%) | loss: 10.5406 | lr: 9.31e-05 | dt: 233ms | tok/s: 70,214 | vram: 2039MB | remain: 1797s   
step 0019 (0.2%) | loss: 10.4621 | lr: 1.01e-04 | dt: 233ms | tok/s: 70,213 | vram: 2039MB | remain: 1797s   
step 0020 (0.2%) | loss: 10.3798 | lr: 1.09e-04 | dt: 234ms | tok/s: 70,104 | vram: 2039MB | remain: 1797s   
step 0021 (0.2%) | loss: 10.2848 | lr: 1.16e-04 | dt: 230ms | tok/s: 71,338 | vram: 2039MB | remain: 1796s   
step 0022 (0.2%) | loss: 10.1854 | lr: 1.24e-04 | dt: 233ms | tok/s: 70,433 | vram: 2039MB | remain: 1796s   
step 0023 (0.2%) | loss: 10.0849 | lr: 1.32e-04 | dt: 233ms | tok/s: 70,257 | vram: 2039MB | remain: 1796s   
step 0024 (0.2%) | loss: 9.9856 | lr: 1.40e-04 | dt: 232ms | tok/s: 70,486 | vram: 2039MB | remain: 1796s   
step 0025 (0.2%) | loss: 9.8933 | lr: 1.47e-04 | dt: 233ms | tok/s: 70,438 | vram: 2039MB | remain: 1795s   
step 0026 (0.3%) | loss: 9.7992 | lr: 1.55e-04 | dt: 236ms | tok/s: 69,478 | vram: 2039MB | remain: 1795s   
step 0027 (0.3%) | loss: 9.6995 | lr: 1.63e-04 | dt: 231ms | tok/s: 70,868 | vram: 2039MB | remain: 1795s   
step 0028 (0.3%) | loss: 9.5950 | lr: 1.71e-04 | dt: 234ms | tok/s: 70,086 | vram: 2039MB | remain: 1795s   
step 0029 (0.3%) | loss: 9.4793 | lr: 1.78e-04 | dt: 234ms | tok/s: 69,949 | vram: 2039MB | remain: 1794s   
step 0030 (0.3%) | loss: 9.3746 | lr: 1.86e-04 | dt: 233ms | tok/s: 70,260 | vram: 2039MB | remain: 1794s   
step 0031 (0.3%) | loss: 9.2676 | lr: 1.94e-04 | dt: 233ms | tok/s: 70,195 | vram: 2039MB | remain: 1794s   
step 0032 (0.3%) | loss: 9.1591 | lr: 2.02e-04 | dt: 231ms | tok/s: 70,917 | vram: 2039MB | remain: 1794s   
step 0033 (0.3%) | loss: 9.0235 | lr: 2.10e-04 | dt: 232ms | tok/s: 70,666 | vram: 2039MB | remain: 1793s   
step 0034 (0.4%) | loss: 8.8983 | lr: 2.17e-04 | dt: 233ms | tok/s: 70,190 | vram: 2039MB | remain: 1793s   
step 0035 (0.4%) | loss: 8.7676 | lr: 2.25e-04 | dt: 235ms | tok/s: 69,583 | vram: 2039MB | remain: 1793s   
step 0036 (0.4%) | loss: 8.6382 | lr: 2.33e-04 | dt: 233ms | tok/s: 70,245 | vram: 2039MB | remain: 1793s   
step 0037 (0.4%) | loss: 8.4856 | lr: 2.41e-04 | dt: 232ms | tok/s: 70,664 | vram: 2039MB | remain: 1793s   
step 0038 (0.4%) | loss: 8.3506 | lr: 2.48e-04 | dt: 232ms | tok/s: 70,578 | vram: 2039MB | remain: 1792s   
step 0039 (0.4%) | loss: 8.1946 | lr: 2.56e-04 | dt: 232ms | tok/s: 70,639 | vram: 2039MB | remain: 1792s   
step 0040 (0.4%) | loss: 8.0695 | lr: 2.64e-04 | dt: 234ms | tok/s: 70,096 | vram: 2039MB | remain: 1792s   
step 0041 (0.5%) | loss: 7.9254 | lr: 2.72e-04 | dt: 233ms | tok/s: 70,267 | vram: 2039MB | remain: 1792s   
step 0042 (0.5%) | loss: 7.7768 | lr: 2.79e-04 | dt: 232ms | tok/s: 70,702 | vram: 2039MB | remain: 1791s   
step 0043 (0.5%) | loss: 7.6075 | lr: 2.87e-04 | dt: 232ms | tok/s: 70,493 | vram: 2039MB | remain: 1791s   
step 0044 (0.5%) | loss: 7.4942 | lr: 2.95e-04 | dt: 234ms | tok/s: 70,076 | vram: 2039MB | remain: 1791s   
step 0045 (0.5%) | loss: 7.3460 | lr: 3.03e-04 | dt: 233ms | tok/s: 70,181 | vram: 2039MB | remain: 1791s   
step 0046 (0.5%) | loss: 7.2113 | lr: 3.10e-04 | dt: 236ms | tok/s: 69,294 | vram: 2039MB | remain: 1790s   
step 0047 (0.5%) | loss: 7.1016 | lr: 3.18e-04 | dt: 232ms | tok/s: 70,470 | vram: 2039MB | remain: 1790s   
step 0048 (0.5%) | loss: 6.9542 | lr: 3.26e-04 | dt: 234ms | tok/s: 70,088 | vram: 2039MB | remain: 1790s   
step 0049 (0.6%) | loss: 6.8141 | lr: 3.34e-04 | dt: 234ms | tok/s: 70,066 | vram: 2039MB | remain: 1790s   
step 0050 (0.6%) | loss: 6.6705 | lr: 3.42e-04 | dt: 230ms | tok/s: 71,321 | vram: 2039MB | remain: 1790s   
step 0051 (0.6%) | loss: 6.5570 | lr: 3.49e-04 | dt: 232ms | tok/s: 70,604 | vram: 2039MB | remain: 1789s   
step 0052 (0.6%) | loss: 6.4415 | lr: 3.57e-04 | dt: 235ms | tok/s: 69,830 | vram: 2039MB | remain: 1789s   
step 0053 (0.6%) | loss: 6.3329 | lr: 3.65e-04 | dt: 231ms | tok/s: 70,857 | vram: 2039MB | remain: 1789s   
step 0054 (0.6%) | loss: 6.2002 | lr: 3.73e-04 | dt: 234ms | tok/s: 70,113 | vram: 2039MB | remain: 1789s   
step 0055 (0.6%) | loss: 6.0661 | lr: 3.80e-04 | dt: 236ms | tok/s: 69,318 | vram: 2039MB | remain: 1788s   
step 0056 (0.6%) | loss: 5.9436 | lr: 3.88e-04 | dt: 234ms | tok/s: 70,133 | vram: 2039MB | remain: 1788s   
step 0057 (0.7%) | loss: 5.8252 | lr: 3.96e-04 | dt: 236ms | tok/s: 69,448 | vram: 2039MB | remain: 1788s   
step 0058 (0.7%) | loss: 5.7328 | lr: 4.04e-04 | dt: 235ms | tok/s: 69,753 | vram: 2039MB | remain: 1788s   
step 0059 (0.7%) | loss: 5.6435 | lr: 4.12e-04 | dt: 229ms | tok/s: 71,522 | vram: 2039MB | remain: 1787s   
step 0060 (0.7%) | loss: 5.5859 | lr: 4.19e-04 | dt: 234ms | tok/s: 69,886 | vram: 2039MB | remain: 1787s   
step 0061 (0.7%) | loss: 5.5485 | lr: 4.27e-04 | dt: 235ms | tok/s: 69,627 | vram: 2039MB | remain: 1787s   
step 0062 (0.7%) | loss: 5.5296 | lr: 4.35e-04 | dt: 227ms | tok/s: 72,095 | vram: 2039MB | remain: 1787s   
step 0063 (0.7%) | loss: 5.4005 | lr: 4.43e-04 | dt: 232ms | tok/s: 70,536 | vram: 2039MB | remain: 1786s   
step 0064 (0.8%) | loss: 5.3606 | lr: 4.50e-04 | dt: 236ms | tok/s: 69,463 | vram: 2039MB | remain: 1786s   
step 0065 (0.8%) | loss: 5.2571 | lr: 4.58e-04 | dt: 232ms | tok/s: 70,520 | vram: 2039MB | remain: 1786s   
step 0066 (0.8%) | loss: 5.1749 | lr: 4.66e-04 | dt: 232ms | tok/s: 70,543 | vram: 2039MB | remain: 1786s   
step 0067 (0.8%) | loss: 5.1077 | lr: 4.74e-04 | dt: 234ms | tok/s: 70,127 | vram: 2039MB | remain: 1786s   
