W0428 13:05:34.011000 132156 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50257
Parameters: 67,624,520  (67.6M)
Architecture: prelude=2 + core×1 + coda=2
Novel: TopicConditioned FFN (8 topics, embed_dim=64)
Novel: Verification loss mult = 3.0x
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 300s

step 0000 (0.0%) | lm: 11.0132 | topic: 0.000 | lr: 0.00e+00 | tok/s: 962 | vram: 3857MB | remain: 300s   
step 0001 (0.0%) | lm: 11.0109 | topic: 0.000 | lr: 0.00e+00 | tok/s: 69,013 | vram: 4372MB | remain: 300s   
step 0002 (0.0%) | lm: 11.0056 | topic: 0.000 | lr: 0.00e+00 | tok/s: 68,571 | vram: 4372MB | remain: 300s   
step 0003 (0.0%) | lm: 11.0089 | topic: 0.000 | lr: 0.00e+00 | tok/s: 67,395 | vram: 4372MB | remain: 300s   
step 0004 (0.0%) | lm: 11.0114 | topic: 0.000 | lr: 0.00e+00 | tok/s: 67,021 | vram: 4372MB | remain: 300s   
step 0005 (0.0%) | lm: 11.0133 | topic: 0.000 | lr: 0.00e+00 | tok/s: 67,159 | vram: 4372MB | remain: 300s   
step 0006 (0.0%) | lm: 11.0118 | topic: 0.000 | lr: 0.00e+00 | tok/s: 67,439 | vram: 4372MB | remain: 300s   
step 0007 (0.1%) | lm: 11.0120 | topic: 0.000 | lr: 4.86e-05 | tok/s: 68,051 | vram: 4372MB | remain: 300s   
step 0008 (0.2%) | lm: 10.9858 | topic: 0.000 | lr: 9.67e-05 | tok/s: 67,728 | vram: 4372MB | remain: 299s   
step 0009 (0.2%) | lm: 10.9235 | topic: 0.000 | lr: 1.45e-04 | tok/s: 67,472 | vram: 4372MB | remain: 299s   
step 0010 (0.3%) | lm: 10.8121 | topic: 0.000 | lr: 1.94e-04 | tok/s: 67,192 | vram: 4372MB | remain: 299s   
step 0011 (0.4%) | lm: 10.6702 | topic: 0.000 | lr: 2.42e-04 | tok/s: 67,341 | vram: 4372MB | remain: 299s   
step 0012 (0.5%) | lm: 10.5060 | topic: 0.000 | lr: 2.91e-04 | tok/s: 67,380 | vram: 4372MB | remain: 298s   
step 0013 (0.6%) | lm: 10.3677 | topic: 0.000 | lr: 3.40e-04 | tok/s: 67,489 | vram: 4372MB | remain: 298s   
step 0014 (0.6%) | lm: 10.1911 | topic: 0.000 | lr: 3.88e-04 | tok/s: 67,714 | vram: 4372MB | remain: 298s   
step 0015 (0.7%) | lm: 9.9979 | topic: 0.000 | lr: 4.37e-04 | tok/s: 68,365 | vram: 4372MB | remain: 298s   
step 0016 (0.8%) | lm: 9.8199 | topic: 0.000 | lr: 4.85e-04 | tok/s: 67,499 | vram: 4372MB | remain: 297s   
step 0017 (0.9%) | lm: 9.6316 | topic: 0.000 | lr: 5.33e-04 | tok/s: 67,423 | vram: 4372MB | remain: 297s   
step 0018 (1.0%) | lm: 9.4135 | topic: 0.000 | lr: 5.82e-04 | tok/s: 68,318 | vram: 4372MB | remain: 297s   
step 0019 (1.0%) | lm: 9.2053 | topic: 0.000 | lr: 6.30e-04 | tok/s: 67,482 | vram: 4372MB | remain: 297s   
step 0020 (1.1%) | lm: 8.9469 | topic: 0.000 | lr: 6.78e-04 | tok/s: 67,239 | vram: 4372MB | remain: 296s   
step 0021 (1.2%) | lm: 8.6694 | topic: 0.000 | lr: 7.27e-04 | tok/s: 67,527 | vram: 4372MB | remain: 296s   
step 0022 (1.3%) | lm: 8.3945 | topic: 0.000 | lr: 7.76e-04 | tok/s: 67,186 | vram: 4372MB | remain: 296s   
step 0023 (1.4%) | lm: 8.1102 | topic: 0.000 | lr: 8.24e-04 | tok/s: 67,410 | vram: 4372MB | remain: 296s   
step 0024 (1.5%) | lm: 7.8239 | topic: 0.000 | lr: 8.73e-04 | tok/s: 67,431 | vram: 4372MB | remain: 295s   
step 0025 (1.5%) | lm: 7.5476 | topic: 0.000 | lr: 9.22e-04 | tok/s: 67,229 | vram: 4372MB | remain: 295s   
step 0026 (1.6%) | lm: 7.2969 | topic: 0.000 | lr: 9.70e-04 | tok/s: 67,278 | vram: 4372MB | remain: 295s   
step 0027 (1.7%) | lm: 7.0493 | topic: 0.000 | lr: 1.02e-03 | tok/s: 67,255 | vram: 4372MB | remain: 295s   
step 0028 (1.8%) | lm: 6.8449 | topic: 0.000 | lr: 1.07e-03 | tok/s: 67,529 | vram: 4372MB | remain: 294s   
step 0029 (1.9%) | lm: 6.6700 | topic: 0.000 | lr: 1.12e-03 | tok/s: 67,766 | vram: 4372MB | remain: 294s   
